Single Year of Age,Female,Male
30,627.0,582.0
31,708.0,623.0
32,688.0,642.0
33,695.0,643.0
34,741.0,714.0
35,787.0,729.0
36,828.0,765.0
37,923.0,788.0
38,955.0,863.0
39,945.0,829.0
40,999.0,907.0
