Single Year of Age,Female,Male
30,1265.0,1250.0
31,1317.0,1205.0
32,1356.0,1316.0
33,1313.0,1310.0
34,1424.0,1314.0
35,1468.0,1404.0
36,1593.0,1419.0
37,1555.0,1468.0
38,1594.0,1521.0
39,1690.0,1540.0
40,1657.0,1637.0
