Single Year of Age,Female,Male
30,1488.0,1372.0
31,1594.0,1396.0
32,1551.0,1462.0
33,1665.0,1522.0
34,1780.0,1563.0
35,1864.0,1722.0
36,2015.0,1733.0
37,2009.0,1837.0
38,2114.0,1889.0
39,2246.0,2085.0
40,2276.0,2090.0
