Single Year of Age,Female,Male
30,334.0,334.0
31,361.0,334.0
32,381.0,361.0
33,432.0,321.0
34,416.0,370.0
35,441.0,399.0
36,491.0,444.0
37,515.0,423.0
38,523.0,493.0
39,514.0,509.0
40,538.0,491.0
