Single Year of Age,Female,Male
30,172.0,164.0
31,211.0,155.0
32,217.0,163.0
33,206.0,173.0
34,217.0,192.0
35,227.0,216.0
36,240.0,211.0
37,234.0,211.0
38,252.0,231.0
39,253.0,242.0
40,271.0,245.0
