Single Year of Age,Female,Male
30,425.0,416.0
31,457.0,450.0
32,530.0,466.0
33,489.0,466.0
34,513.0,475.0
35,560.0,519.0
36,602.0,549.0
37,604.0,578.0
38,684.0,583.0
39,656.0,641.0
40,630.0,633.0
