Single Year of Age,Female,Male
30,1734.0,1703.0
31,1814.0,1767.0
32,1837.0,1727.0
33,1705.0,1633.0
34,1774.0,1636.0
35,1780.0,1687.0
36,1760.0,1701.0
37,1872.0,1759.0
38,1737.0,1728.0
39,1858.0,1721.0
40,1879.0,1750.0
