Single Year of Age,Female,Male
30,552.0,513.0
31,614.0,599.0
32,572.0,578.0
33,568.0,563.0
34,636.0,594.0
35,741.0,634.0
36,717.0,625.0
37,708.0,657.0
38,803.0,683.0
39,832.0,756.0
40,776.0,810.0
