Single Year of Age,Female,Male
30,2002.0,1819.0
31,2065.0,1898.0
32,2161.0,1887.0
33,2184.0,1895.0
34,2330.0,2040.0
35,2409.0,2054.0
36,2539.0,2304.0
37,2541.0,2327.0
38,2511.0,2418.0
39,2797.0,2420.0
40,2822.0,2575.0
