Single Year of Age,Female,Male
30,990.0,813.0
31,972.0,958.0
32,1047.0,907.0
33,1100.0,996.0
34,1177.0,1056.0
35,1292.0,1139.0
36,1301.0,1193.0
37,1354.0,1243.0
38,1485.0,1266.0
39,1534.0,1407.0
40,1652.0,1443.0
