Single Year of Age,Female,Male
30,940.0,877.0
31,914.0,945.0
32,976.0,906.0
33,1009.0,821.0
34,1058.0,961.0
35,1152.0,986.0
36,1122.0,1009.0
37,1175.0,1002.0
38,1239.0,1067.0
39,1230.0,1078.0
40,1347.0,1172.0
