Single Year of Age,Female,Male
30,1256.0,1097.0
31,1331.0,1252.0
32,1427.0,1254.0
33,1402.0,1253.0
34,1556.0,1350.0
35,1652.0,1504.0
36,1723.0,1526.0
37,1731.0,1601.0
38,1852.0,1605.0
39,1858.0,1752.0
40,1927.0,1787.0
