Single Year of Age,Female,Male
30,801.0,769.0
31,880.0,796.0
32,873.0,782.0
33,922.0,814.0
34,941.0,890.0
35,1044.0,868.0
36,1034.0,946.0
37,1044.0,878.0
38,1127.0,964.0
39,1092.0,1001.0
40,1170.0,1119.0
