Single Year of Age,Female,Male
30,917.0,827.0
31,908.0,867.0
32,947.0,867.0
33,945.0,884.0
34,1024.0,939.0
35,1175.0,982.0
36,1135.0,1011.0
37,1140.0,1019.0
38,1194.0,1124.0
39,1300.0,1136.0
40,1297.0,1226.0
