Single Year of Age,Female,Male
30,715.0,719.0
31,749.0,712.0
32,779.0,771.0
33,776.0,686.0
34,846.0,711.0
35,938.0,807.0
36,905.0,832.0
37,889.0,823.0
38,954.0,851.0
39,977.0,851.0
40,978.0,898.0
