Single Year of Age,Female,Male
30,837.0,688.0
31,890.0,783.0
32,875.0,827.0
33,943.0,837.0
34,981.0,865.0
35,1060.0,923.0
36,1153.0,949.0
37,1191.0,1076.0
38,1277.0,1077.0
39,1336.0,1137.0
40,1400.0,1176.0
