Single Year of Age,Female,Male
30,517.0,470.0
31,512.0,509.0
32,530.0,559.0
33,583.0,538.0
34,631.0,548.0
35,698.0,655.0
36,717.0,667.0
37,737.0,704.0
38,820.0,718.0
39,839.0,762.0
40,814.0,747.0
