Single Year of Age,Female,Male
30,6178.0,6163.0
31,6079.0,6287.0
32,5964.0,6080.0
33,5700.0,5734.0
34,5545.0,5503.0
35,5444.0,5488.0
36,5218.0,5401.0
37,4902.0,5208.0
38,5053.0,5083.0
39,4939.0,4959.0
40,4809.0,4961.0
