Single Year of Age,Female,Male
30,696.0,657.0
31,737.0,719.0
32,763.0,667.0
33,758.0,761.0
34,856.0,778.0
35,871.0,821.0
36,909.0,871.0
37,973.0,899.0
38,963.0,892.0
39,1033.0,959.0
40,1126.0,943.0
