Single Year of Age,Female,Male
30,287.0,263.0
31,252.0,232.0
32,271.0,267.0
33,288.0,261.0
34,337.0,291.0
35,317.0,296.0
36,347.0,331.0
37,345.0,275.0
38,378.0,333.0
39,388.0,337.0
40,409.0,396.0
