Single Year of Age,Female,Male
30,725.0,677.0
31,705.0,759.0
32,699.0,655.0
33,628.0,594.0
34,721.0,611.0
35,667.0,610.0
36,707.0,625.0
37,657.0,650.0
38,707.0,624.0
39,747.0,644.0
40,687.0,707.0
