Single Year of Age,Female,Male
30,799.0,792.0
31,813.0,772.0
32,843.0,854.0
33,919.0,755.0
34,907.0,817.0
35,1002.0,860.0
36,1032.0,992.0
37,1122.0,948.0
38,1220.0,1033.0
39,1229.0,1022.0
40,1239.0,1112.0
