Single Year of Age,Female,Male
30,1873.0,1672.0
31,1970.0,1725.0
32,2050.0,1791.0
33,2023.0,1910.0
34,2216.0,2038.0
35,2430.0,2181.0
36,2584.0,2198.0
37,2611.0,2355.0
38,2723.0,2461.0
39,3007.0,2631.0
40,3058.0,2744.0
