Single Year of Age,Female,Male
30,906.0,788.0
31,892.0,831.0
32,936.0,927.0
33,961.0,868.0
34,1077.0,946.0
35,1057.0,959.0
36,1107.0,1005.0
37,1115.0,991.0
38,1119.0,1036.0
39,1237.0,1121.0
40,1293.0,1149.0
