Single Year of Age,Female,Male
30,575.0,523.0
31,590.0,602.0
32,633.0,562.0
33,607.0,582.0
34,663.0,575.0
35,731.0,666.0
36,780.0,722.0
37,719.0,719.0
38,794.0,657.0
39,757.0,758.0
40,781.0,723.0
