Single Year of Age,Female,Male
30,493.0,447.0
31,482.0,443.0
32,476.0,447.0
33,490.0,444.0
34,532.0,503.0
35,528.0,546.0
36,581.0,521.0
37,598.0,563.0
38,611.0,564.0
39,668.0,581.0
40,706.0,691.0
