Single Year of Age,Female,Male
30,1601.0,1511.0
31,1555.0,1510.0
32,1649.0,1516.0
33,1581.0,1442.0
34,1556.0,1488.0
35,1548.0,1506.0
36,1677.0,1511.0
37,1694.0,1543.0
38,1801.0,1644.0
39,1878.0,1667.0
40,1910.0,1736.0
