Single Year of Age,Female,Male
30,360.0,315.0
31,385.0,343.0
32,355.0,381.0
33,373.0,359.0
34,399.0,383.0
35,476.0,420.0
36,459.0,465.0
37,518.0,431.0
38,513.0,492.0
39,509.0,470.0
40,556.0,489.0
