Single Year of Age,Female,Male
30,338.0,367.0
31,390.0,349.0
32,384.0,362.0
33,384.0,366.0
34,414.0,360.0
35,446.0,387.0
36,438.0,397.0
37,457.0,451.0
38,483.0,465.0
39,553.0,453.0
40,487.0,494.0
