Single Year of Age,Female,Male
30,2088.0,1888.0
31,2180.0,2061.0
32,2240.0,2088.0
33,2439.0,2157.0
34,2599.0,2188.0
35,2691.0,2321.0
36,2843.0,2484.0
37,2808.0,2528.0
38,2926.0,2682.0
39,3147.0,2780.0
40,3131.0,2973.0
