Single Year of Age,Female,Male
30,350.0,382.0
31,383.0,355.0
32,372.0,341.0
33,401.0,300.0
34,417.0,422.0
35,444.0,406.0
36,473.0,421.0
37,452.0,472.0
38,490.0,466.0
39,543.0,500.0
40,518.0,477.0
